"disaster_number","declaration_date","state","declaration_type","incident_type","declaration_title","incident_begin_date","incident_end_date","designated_area"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Kosciusko (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Yell (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Orange (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Mississippi Choctaw Indian Reservation"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Leslie (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Porter (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Washington (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Dallas (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Franklin (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Woodruff (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Knox (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Tipton (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Evangeline (Parish)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Warren (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Catoosa (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Warrick (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Lauderdale (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Clark (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Crawford (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Holmes (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Grayson (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Pickett (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Caldwell (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Noble (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Iberia (Parish)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Coahoma (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Madison (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","De Soto (Parish)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lafayette (Parish)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Whitley (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Morgan (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Floyd (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Knox (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Maury (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Prairie (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Quitman (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Marshall (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Pope (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Orleans (Parish)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Nevada (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Howard (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Buncombe (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Hall (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Scott (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Alamance (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Tate (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Washington (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Lafayette (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Franklin (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Attala (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Lee (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Allen (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Mitchell (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Franklin (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. Charles (Parish)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lake (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","McDowell (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Habersham (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Greene (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Wilkinson (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Wilkes (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Wilcox (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Benton (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Magoffin (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Whitfield (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Chowan (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Carlisle (County)"
3634,"2026-01-24","MD","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Anne Arundel (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Kemper (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Metcalfe (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Williamson (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Cross (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Davie (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Blount (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Natchitoches (Parish)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Surry (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Mineral (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Anderson (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Owen (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Shelby (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Jefferson (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Neshoba (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Wilson (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Warren (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Calcasieu (Parish)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Evans (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Livingston (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Dooly (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Bledsoe (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","West Baton Rouge (Parish)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Kanawha (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Jackson (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Clay (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Humphreys (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Shelby (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Carroll (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Anderson (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Amite (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lawrence (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Harlan (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Bolivar (County)"
3634,"2026-01-24","MD","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Calvert (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Burke (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Switzerland (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Barren (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Bath (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Hot Spring (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Jay (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Calhoun (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Madison (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Brown (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Newton (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Bleckley (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Bossier (Parish)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Adams (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","McMinn (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Little River (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Fulton (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Monroe (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Gilmer (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lincoln (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lee (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Crittenden (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Cleveland (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Conway (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Letcher (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Richland (Parish)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Grundy (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Franklin (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Adams (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Craighead (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. Mary (Parish)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Jefferson (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","LaGrange (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Butler (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Troup (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Yazoo (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. James (Parish)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Telfair (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Hampshire (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Hardy (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. John the Baptist (Parish)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Jennings (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. Landry (Parish)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Lamar (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Lawrence (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Dickson (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Rowan (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Fayette (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Claiborne (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Wabash (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Webster (Parish)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Decatur (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Grainger (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Ripley (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Winston (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Parke (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Cabarrus (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Pendleton (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","White (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Drew (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Cumberland (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Wheeler (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Webster (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Benton (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Edmonson (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","McNairy (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Monongalia (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Grant (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Elliott (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Tipton (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Perry (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Daviess (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Jefferson (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Newton (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Craven (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Bradley (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Robertson (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Montgomery (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","Itawamba (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Baxter (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Carteret (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Boone (County)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Estill (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Lewis (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Madison (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Marshall (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Cumberland (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Phillips (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Iberville (Parish)"
3633,"2026-01-24","KY","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Clinton (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Doddridge (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Henry (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Logan (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Lawrence (County)"
3634,"2026-01-24","MD","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Cecil (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Morgan (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","St. Helena (Parish)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Gordon (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Swain (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Polk (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Clay (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Sharp (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Acadia (Parish)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Randolph (County)"
3639,"2026-01-24","WV","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Roane (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Polk (County)"
3640,"2026-01-24","MS","EM","Winter Storm","SEVERE WINTER STORM ","2026-01-23","2026-01-27","DeSoto (County)"
3634,"2026-01-24","MD","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Talbot (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Wells (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Montgomery (County)"
3636,"2026-01-24","AR","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Garland (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Stanly (County)"
3641,"2026-01-24","IN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Putnam (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Pasquotank (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Richmond (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Bienville (Parish)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Mecklenburg (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Rutherford (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Pointe Coupee (Parish)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Madison (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Martin (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Lenoir (County)"
3634,"2026-01-24","MD","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Worcester (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Roane (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Orange (County)"
3635,"2026-01-24","TN","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Putnam (County)"
3638,"2026-01-24","LA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-23","2026-01-27","Vermilion (Parish)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Currituck (County)"
3642,"2026-01-24","GA","EM","Winter Storm","SEVERE WINTER STORM","2026-01-22","2026-01-27","Warren (County)"
3637,"2026-01-24","NC","EM","Winter Storm","SEVERE WINTER STORM","2026-01-21","2026-01-27","Pender (County)"
